evse_id,postal_cod,latitude,longitude,port_type,ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10
5064.000000000000000,64145.000000000000000,38.884265999999997,-94.607437000000004,Level 2,"64145",8600000US64145,"64145","17067411","144490"
5403.000000000000000,64108.000000000000000,39.084739999999996,-94.587158000000002,Level 2,"64108",8600000US64108,"64108","9405486","4803"
6256.000000000000000,64154.000000000000000,39.300255000000000,-94.663673000000003,Level 2,"64154",8600000US64154,"64154","36046647","115690"
9733.000000000000000,64105.000000000000000,39.093589999999999,-94.587508999999997,Level 2,"64108",8600000US64108,"64108","9405486","4803"
9737.000000000000000,64105.000000000000000,39.093589999999999,-94.587485999999998,Level 2,"64108",8600000US64108,"64108","9405486","4803"
34293.000000000000000,64110.000000000000000,39.040058000000002,-94.571251000000004,Level 2,"64110",8600000US64110,"64110","7829737","0"
42403.000000000000000,64110.000000000000000,39.037506000000000,-94.581519999999998,Level 2,"64110",8600000US64110,"64110","7829737","0"
45003.000000000000000,64105.000000000000000,39.099476000000003,-94.583359000000002,Level 2,"64105",8600000US64105,"64105","1950214","220454"
65003.000000000000000,64110.000000000000000,39.040142000000003,-94.577545000000001,Level 2,"64110",8600000US64110,"64110","7829737","0"
82093.000000000000000,64111.000000000000000,39.044818999999997,-94.580962999999997,Level 2,"64111",8600000US64111,"64111","7051166","0"
82103.000000000000000,64110.000000000000000,39.036484000000002,-94.577354000000000,Level 2,"64110",8600000US64110,"64110","7829737","0"
82393.000000000000000,64130.000000000000000,39.036563999999998,-94.545180999999999,Level 2,"64130",8600000US64130,"64130","18655561","17491"
82493.000000000000000,64130.000000000000000,39.034775000000003,-94.554969999999997,Level 2,"64130",8600000US64130,"64130","18655561","17491"
82503.000000000000000,64130.000000000000000,39.035224999999997,-94.554832000000005,Level 2,"64130",8600000US64130,"64130","18655561","17491"
82543.000000000000000,64110.000000000000000,39.032513000000002,-94.576614000000006,Level 2,"64110",8600000US64110,"64110","7829737","0"
99439.000000000000000,64102.000000000000000,39.095790999999998,-94.604675000000000,Level 2,"64102",8600000US64102,"64102","797712","0"
103115.000000000000000,64108.000000000000000,39.078902999999997,-94.598067999999998,Level 2,"64108",8600000US64108,"64108","9405486","4803"
106405.000000000000000,64105.000000000000000,39.105998999999997,-94.588431999999997,Level 2,"64105",8600000US64105,"64105","1950214","220454"
106409.000000000000000,64105.000000000000000,39.105980000000002,-94.588431999999997,Level 2,"64105",8600000US64105,"64105","1950214","220454"
107257.000000000000000,64130.000000000000000,39.014046000000000,-94.530563000000001,Level 2,"64130",8600000US64130,"64130","18655561","17491"
107293.000000000000000,64132.000000000000000,38.968986999999998,-94.555931000000001,Level 2,"64132",8600000US64132,"64132","26394362","82487"
107305.000000000000000,64108.000000000000000,39.091217000000000,-94.583481000000006,Level 2,"64108",8600000US64108,"64108","9405486","4803"
107409.000000000000000,64112.000000000000000,39.034317000000001,-94.592376999999999,Level 2,"64112",8600000US64112,"64112","3819791","0"
107419.000000000000000,64108.000000000000000,39.087395000000001,-94.573752999999996,Level 2,"64108",8600000US64108,"64108","9405486","4803"
